,Arabic,Bengali,English,French,German,Hindi,Italian,Japanese,Javanese,Korean,Malay,Mandarin,Marathi,Portuguese,Punjabi (Lahnda),Russian,Spanish,Tamil,Telugu,Urdu,Vietnamese,Page Found
1966,89,89,301,72,120,171,58,100,42,38,,530,37,88,29,176,166,40,44,55,28,733
1967,91,91,305,73,120,174,58,101,42,39,,542,40,90,32,179,170,42,46,55,29,295
1968,94,94,309,74,120,178,58,101,42,41,,555,42,93,36,183,174,44,47,55,31,160
1969,98,98,314,75,120,181,58,102,42,43,,567,43,97,41,188,179,45,48,55,32,350
1970,102,102,320,77,120,185,59,103,43,45,,580,43,101,45,194,183,46,49,55,33,349
1971,105,105,326,78,120,188,59,104,43,46,,592,44,105,48,200,187,47,50,55,34,173
1972,109,108,333,80,120,192,59,105,43,47,,605,45,108,50,206,192,48,51,56,34,334
1973,109,108,333,80,120,192,59,105,43,47,,754,45,108,50,206,192,48,51,56,34,333
1974,117,116,345,85,120,200,60,108,43,50,,628,48,116,52,220,202,50,52,56,36,314
1975,121,120,352,87,120,205,60,109,44,51,,639,49,120,53,226,208,52,53,57,36,295
1976,125,123,358,90,120,209,60,110,44,52,,650,51,124,55,233,213,53,53,57,37,200
1977,130,127,363,92,120,213,60,112,45,53,,660,52,129,57,240,219,54,54,58,37,226
1978,134,131,369,95,120,218,61,113,45,55,,670,53,133,58,246,225,55,55,60,38,186
1979,138,136,374,98,120,224,61,114,46,56,,680,53,137,60,253,231,55,55,63,40,204
1980,142,140,380,100,120,230,61,115,47,57,,690,54,141,61,259,238,56,56,65,41,189
1981,147,144,386,103,119,237,61,117,47,58,,701,55,145,63,265,245,57,57,68,42,272
1982,151,148,391,105,119,245,61,118,48,59,,713,56,148,64,270,251,58,59,70,44,164
1983,155,151,397,107,119,254,62,119,49,60,,726,57,151,66,274,258,59,60,72,45,206
1984,160,155,403,109,118,264,62,120,49,62,,740,58,154,67,277,266,59,60,75,47,195
1985,166,160,409,110,118,275,62,121,50,63,,755,59,157,69,280,275,60,60,77,48,245
1986,171,166,415,112,118,287,63,121,50,64,,771,60,161,70,282,285,61,61,80,50,198
1987,177,171,420,114,118,300,63,122,51,66,,788,60,164,72,285,296,61,62,82,51,216
1988,182,175,426,115,118,313,63,123,53,67,,806,61,166,74,287,308,62,64,85,53,232-233
1989,187,178,431,117,118,325,63,124,55,68,,825,62,169,77,289,320,63,65,88,54,224-225
1990,192,181,437,119,118,338,63,124,57,69,,844,63,171,81,291,331,64,67,90,55,806-807
1991,197,184,443,121,118,352,63,125,58,71,,864,64,173,84,293,341,65,68,92,57,808-809
1992,202,187,450,122,118,367,63,126,60,72,,885,65,175,87,294,352,66,69,94,59,573-574
1993,,,,,,,,,,,,,,,,,,,,,,
1994,214,192,463,124,120,400,63,126,63,74,,930,68,179,92,291,371,68,72,98,63,578-579
1995,219,196,470,124,121,418,63,126,64,75,155,952,70,182,94,288,381,69,73,100,64,598-599
1996,225,200,478,126,123,437,63,126,123,75,159,975,70,184,95,284,392,71,74,102,65,642-643
1997,230,204,487,126,124,457,62,126,64,76,164,999,71,186,95,280,346,73,75,104,67,642-643
1998,235,207,497,127,126,476,62,126,64,77,170,1025,71,187,94,279,409,74,75,104,68,444-445
1999,246,211,508,128,128,487,62,126,64,78,177,1052,71,191,94,277,417,74,75,104,68,700-701
2000,256,215,514,129,128,496,62,126,64,78,176,1075,72,194,96,275,425,75,75,106,69,708-709
2001,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,
2014,223,193,335,69,84,260,61,122,84,66,13,847.8,72,202,83,162,406,69,74,63,68,717
2015,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,